[3645770, 3114919, 3379299, 182, 299, 0.6086956521739131, 22]
[13746059, 12674695, 11870170, 260, 300, 0.8666666666666667, 22]
[10660814, 10053956, 9361573, 300, 236, 1.271186440677966, 33]
[3351192, 3300732, 3196966, 195, 300, 0.65, 23]
[20184709, 18992549, 18884244, 300, 300, 1.0, 23]
[15351081, 13128904, 5976024, 299, 299, 1.0, 16]
[16684484, 15868313, 14758528, 253, 300, 0.8433333333333334, 15]
[1595640, 1261125, 1272519, 300, 119, 2.5210084033613445, 14]
[10768771, 9850474, 9665768, 166, 300, 0.5533333333333333, 20]
[7385020, 6958376, 7112830, 205, 299, 0.68561872909699, 21]
[10223673, 10992364, 11364332, 299, 299, 1.0, 22]
[12699029, 12598535, 12149109, 300, 200, 1.5, 19]
[7405820, 6554036, 6449793, 299, 199, 1.5025125628140703, 26]
[16383649, 16411548, 16460561, 299, 299, 1.0, 40]
[2693102, 1349868, 1532813, 300, 119, 2.5210084033613445, 13]
[1096525, 954687, 957787, 224, 299, 0.7491638795986622, 24]
[8228308, 7997828, 7775940, 300, 171, 1.7543859649122806, 18]
[8774502, 11771951, 12196231, 253, 299, 0.8461538461538461, 37]
[8312818, 8122089, 7926615, 300, 199, 1.5075376884422111, 22]
[18486812, 18738819, 17862905, 299, 299, 1.0, 27]
[11717812, 10920519, 10362567, 299, 199, 1.5025125628140703, 26]
[10782088, 10647991, 10314406, 299, 150, 1.9933333333333334, 12]
[21244569, 18624706, 17643753, 299, 299, 1.0, 18]
[9678897, 7793719, 7355078, 299, 299, 1.0, 38]
[18097910, 18734632, 18553889, 292, 300, 0.9733333333333334, 28]
[8401602, 8158353, 8946624, 299, 134, 2.2313432835820897, 11]
[8683050, 7917560, 7639594, 234, 299, 0.782608695652174, 28]
[11012665, 10107213, 8940843, 219, 299, 0.7324414715719063, 26]
[11839726, 13441457, 12535275, 262, 299, 0.8762541806020067, 18]
[10598131, 8840101, 7619395, 245, 300, 0.8166666666666667, 23]
[7442972, 8192105, 9185864, 299, 299, 1.0, 35]
[4928786, 4731761, 4389792, 299, 272, 1.099264705882353, 35]
[11638844, 11203639, 10224143, 299, 255, 1.1725490196078432, 30]
[19727500, 19341984, 18620546, 274, 300, 0.9133333333333333, 15]
[12291361, 9370729, 6491441, 300, 300, 1.0, 36]
[13000531, 7618159, 4867312, 264, 300, 0.88, 22]
[10899448, 6660547, 7186650, 299, 299, 1.0, 25]
[6041203, 3598689, 3098343, 300, 220, 1.3636363636363635, 13]
[12934657, 12362510, 11992048, 182, 300, 0.6066666666666667, 13]
[8321364, 8699500, 8894847, 171, 299, 0.5719063545150501, 24]
[15288214, 13486742, 13660894, 299, 264, 1.1325757575757576, 20]
[14861957, 14366956, 12859440, 299, 299, 1.0, 36]
[7571478, 4309975, 4814746, 158, 300, 0.5266666666666666, 21]
[17340976, 15785058, 15163176, 271, 299, 0.9063545150501672, 19]
[8127689, 8608278, 8756050, 273, 299, 0.9130434782608695, 28]
[7869725, 10207506, 10242021, 176, 300, 0.5866666666666667, 20]
